City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Nalvo,PH,2021-11-23 04:06:19,16.8096,120.5108,85.93,56,6,6.33,clear sky
205,Diego De Almagro,CL,2021-11-23 04:06:20,-26.3667,-70.05,61.81,38,100,3.18,overcast clouds
206,Atar,MR,2021-11-23 04:06:20,20.5169,-13.0499,76.24,43,99,8.43,overcast clouds
207,Arraial Do Cabo,BR,2021-11-23 04:06:20,-22.9661,-42.0278,69.66,68,0,9.22,clear sky
208,Mogadishu,SO,2021-11-23 04:06:21,2.0371,45.3438,80.22,75,56,8.93,broken clouds
209,Baculin,PH,2021-11-23 04:06:21,7.4525,126.5842,85.8,66,98,10.47,overcast clouds
210,San Isidro,PE,2021-11-23 04:06:22,-12.1167,-77.05,66.02,87,90,8.05,overcast clouds
211,Eyl,SO,2021-11-23 04:06:22,7.9803,49.8164,76.87,67,85,8.68,overcast clouds
212,Tarnobrzeg,PL,2021-11-23 04:04:59,50.573,21.6794,36.41,92,20,7.02,few clouds
213,Grindavik,IS,2021-11-23 04:06:23,63.8424,-22.4338,39.67,75,75,14.97,broken clouds
214,Aleksandrovsk,RU,2021-11-23 04:06:23,59.158,57.5624,21.79,82,100,9.1,light snow
215,Meulaboh,ID,2021-11-23 04:06:23,4.1363,96.1285,80.53,78,100,2.48,overcast clouds
216,Axim,GH,2021-11-23 04:06:24,4.8699,-2.2405,78.55,83,38,1.68,scattered clouds
217,Sept-Iles,CA,2021-11-23 04:06:25,50.2001,-66.3821,35.06,76,100,10.0,overcast clouds
218,Kupino,RU,2021-11-23 04:06:25,54.3663,77.2981,32.23,98,100,16.46,light snow
219,Desaguadero,PE,2021-11-23 04:06:26,-16.5656,-69.0417,48.63,66,100,2.01,overcast clouds
220,Tinyahuarco,PE,2021-11-23 04:06:27,-10.75,-76.3,41.9,83,100,1.88,overcast clouds
221,Carnarvon,AU,2021-11-23 04:06:28,-24.8667,113.6333,77.07,53,0,21.85,clear sky
222,Saint-Pierre,RE,2021-11-23 04:06:28,-21.3393,55.4781,80.28,55,0,4.61,clear sky
223,Kankon,IN,2021-11-23 04:06:29,15.0167,74.0167,82.33,75,15,2.46,few clouds
224,Seddon,AU,2021-11-23 04:06:29,-37.8068,144.8916,80.62,55,75,5.99,broken clouds
225,Agirish,RU,2021-11-23 04:06:30,61.9247,63.0231,10.94,95,96,5.86,overcast clouds
226,Praia Da Vitoria,PT,2021-11-23 04:01:45,38.7333,-27.0667,63.75,96,41,16.15,scattered clouds
227,Bayevo,RU,2021-11-23 04:06:30,53.2833,80.7667,32.2,93,100,23.87,light snow
228,Taree,AU,2021-11-23 04:05:25,-31.9,152.4667,76.57,73,95,11.5,overcast clouds
229,Wentzville,US,2021-11-23 04:04:17,38.8114,-90.8529,32.4,60,5,1.01,clear sky
230,Altay,CN,2021-11-23 04:06:31,47.8667,88.1167,25.16,73,64,2.8,broken clouds
231,Tongzi,CN,2021-11-23 04:06:31,28.7829,105.0877,50.47,78,100,3.29,overcast clouds
232,Vani,GE,2021-11-23 04:06:32,42.0832,42.5216,37.09,93,0,4.61,clear sky
233,Marquette,US,2021-11-23 04:06:32,46.5333,-87.6335,20.68,68,32,6.2,scattered clouds
234,Kidal,ML,2021-11-23 04:06:33,18.4411,1.4078,72.45,30,16,9.42,few clouds
235,Kavieng,PG,2021-11-23 04:01:49,-2.5744,150.7967,83.8,77,58,12.86,light rain
236,Sitka,US,2021-11-23 04:01:42,57.0531,-135.33,35.49,87,90,8.05,light rain
237,Jiayuguan,CN,2021-11-23 04:06:34,39.8167,98.3,33.3,25,2,3.91,clear sky
238,Buraydah,SA,2021-11-23 04:05:36,26.326,43.975,57.2,76,3,9.06,clear sky
239,Oranjemund,NA,2021-11-23 04:06:34,-28.55,16.4333,63.72,77,99,7.9,overcast clouds
240,Boguchany,RU,2021-11-23 04:05:42,58.3814,97.4531,28.27,87,91,9.57,overcast clouds
241,Price,US,2021-11-23 04:06:35,39.5994,-110.8107,35.11,43,1,9.22,clear sky
242,Rongcheng,CN,2021-11-23 04:06:35,30.634,117.8517,50.63,31,56,2.53,broken clouds
243,Rocha,UY,2021-11-23 04:06:36,-34.4833,-54.3333,60.87,66,44,17.27,scattered clouds
244,Kaeo,NZ,2021-11-23 04:03:01,-35.1,173.7833,68.45,65,95,4.43,overcast clouds
245,Grand Gaube,MU,2021-11-23 04:06:37,-20.0064,57.6608,79.38,59,3,1.99,clear sky
246,Vila Franca Do Campo,PT,2021-11-23 04:06:37,37.7167,-25.4333,68.2,87,93,15.17,overcast clouds
247,Lixourion,GR,2021-11-23 04:06:37,38.2019,20.4314,61.66,83,100,9.93,overcast clouds
248,Nagato,JP,2021-11-23 04:06:38,34.3833,131.2,55.2,58,100,20.18,overcast clouds
249,Port Blair,IN,2021-11-23 04:06:38,11.6667,92.75,84.58,73,74,10.8,broken clouds
250,Geldern,DE,2021-11-23 04:06:39,51.5167,6.3333,38.89,94,75,2.3,broken clouds
251,Kulhudhuffushi,MV,2021-11-23 04:06:39,6.6221,73.07,81.39,74,87,11.25,overcast clouds
252,Tateyama,JP,2021-11-23 04:06:40,34.9833,139.8667,63.14,62,59,9.62,broken clouds
253,Ballina,AU,2021-11-23 04:06:40,-28.8667,153.5667,76.78,78,32,11.3,scattered clouds
254,Srandakan,ID,2021-11-23 04:06:40,-7.9386,110.2506,70.74,80,100,5.19,light rain
255,Nishihara,JP,2021-11-23 04:06:41,26.1842,127.7558,69.08,61,90,16.11,overcast clouds
256,Tarnos,FR,2021-11-23 04:06:42,43.5417,-1.4628,46.81,100,45,6.91,scattered clouds
257,Agnibilekrou,CI,2021-11-23 04:06:42,7.1344,-3.2047,70.39,95,17,1.57,few clouds
258,Diphu,IN,2021-11-23 04:06:42,25.8333,93.4333,69.49,62,33,2.15,scattered clouds
259,Najran,SA,2021-11-23 04:06:43,17.4924,44.1277,64.08,31,20,0.94,few clouds
260,Khash,IR,2021-11-23 04:06:43,28.2211,61.2158,60.28,19,5,1.57,clear sky
