City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,San Policarpo,PH,84.79,scattered clouds,12.1791,125.5072,Agapita M. Nicart
500,Jeremie,HT,78.01,broken clouds,18.65,-74.1167,Auberge’Inn
532,Salinopolis,BR,79.7,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
536,Toamasina,MG,78.69,light rain,-18.1667,49.3833,Hotel H1
538,La Asuncion,VE,77.9,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
542,Grand-Lahou,CI,78.17,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
543,Milagres,BR,82.69,overcast clouds,-7.3133,-38.9456,Pousada Neves
545,Palau,PW,87.76,broken clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
546,Mildura,AU,81.07,light rain,-34.2,142.15,Mercure Hotel Mildura
548,Dingle,PH,85.82,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
555,Buluang,PH,88.68,broken clouds,13.3068,123.3425,Enon Beach Resort
557,Road Town,VG,78.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
558,Sungaipenuh,ID,78.84,overcast clouds,-2.0833,101.3833,penginapan citra alam
559,Fare,PF,80.89,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
566,San Antero,CO,77.34,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
574,Pringsewu,ID,84.96,overcast clouds,-5.3582,104.9744,Urban Style by Front One
576,Sao Raimundo Nonato,BR,79.92,broken clouds,-9.0153,-42.6994,Real Hotel
578,Takoradi,GH,78.93,few clouds,4.8845,-1.7554,Raybow International Hotel
580,Dubbo,AU,80.73,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
584,Acapulco,MX,78.48,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
585,Kawalu,ID,81.14,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
587,Shirgaon,IN,86.02,broken clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
591,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
594,Linguere,SN,80.71,overcast clouds,15.3953,-15.1193,AYO Casablanca
602,May Pen,JM,79.81,scattered clouds,17.9645,-77.2451,Mus Com Bac
606,Banda Aceh,ID,83.46,overcast clouds,5.5577,95.3222,Sulthan Hotel International
607,West Bay,KY,80.01,clear sky,19.3667,-81.4167,Calypso Cove
617,Port Moresby,PG,84.54,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
624,Mandla,IN,77.56,clear sky,22.6,80.3833,Bison Resort
625,Arroyos Y Esteros,PY,78.55,broken clouds,-25.0667,-57.1,GPM
632,Vanimo,PG,84.29,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
638,Manavalakurichi,IN,86.09,overcast clouds,8.1333,77.3,Muttom beach west
639,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
640,Sur,OM,79.09,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
643,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
653,Pedernales,DO,77.81,scattered clouds,18.0384,-71.744,Hotel Costa Marina
654,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
669,Gigmoto,PH,82.83,broken clouds,13.7796,124.39,Cj's Travellers Inn
671,Arvi,IN,81.61,scattered clouds,20.9833,78.2333,Geet shirbhate
673,Kalmunai,LK,77.36,overcast clouds,7.4167,81.8167,VS Villa
